run_id,category,report,configuration,code_observed,missing_reason,production_code_lines,production_code_tokens,run_total_tokens,run_cost_usd,code_token_share_of_run,source_path
wasmi-trap-coredumps-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,895,6835,23276827,14.256413,0.00029364,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/wasmi-trap-coredumps/codex-cli-high/wasmi-trap-coredumps-codex-cli-high-run-01/metadata/contracts/harness-report.json
yaegi-go-embed-directives-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,374,2774,4600850,3.575401,0.000602932,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/yaegi-go-embed-directives/codex-cli-high/yaegi-go-embed-directives-codex-cli-high-run-01/metadata/contracts/harness-report.json
yjs-map-conflict-detection-codex-cli-high-run-01,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01,codex-cli-high,True,,315,3226,6350665,4.780352,0.000507978,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r01/yjs-map-conflict-detection/codex-cli-high/yjs-map-conflict-detection-codex-cli-high-run-01/metadata/contracts/harness-report.json
abs-stepped-slices-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,291,2517,2837921,2.497579,0.000886917,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/abs-stepped-slices/codex-cli-high/abs-stepped-slices-codex-cli-high-run-02/metadata/contracts/harness-report.json
actionlint-action-pinning-lint-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,371,3179,6419786,4.787099,0.000495188,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/actionlint-action-pinning-lint/codex-cli-high/actionlint-action-pinning-lint-codex-cli-high-run-02/metadata/contracts/harness-report.json
awilix-async-container-initialization-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,425,2779,9494212,6.481982,0.000292705,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/awilix-async-container-initialization/codex-cli-high/awilix-async-container-initialization-codex-cli-high-run-02/metadata/contracts/harness-report.json
bandit-incremental-cache-control-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,550,3667,3101414,2.59938,0.001182364,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/bandit-incremental-cache-control/codex-cli-high/bandit-incremental-cache-control-codex-cli-high-run-02/metadata/contracts/harness-report.json
boa-hierarchical-evaluation-cancellation-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,396,2769,9642749,6.69733,0.000287159,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/boa-hierarchical-evaluation-cancellation/codex-cli-high/boa-hierarchical-evaluation-cancellation-codex-cli-high-run-02/metadata/contracts/harness-report.json
csstree-shorthand-expansion-compression-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,800,5707,2783549,2.761941,0.00205026,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/csstree-shorthand-expansion-compression/codex-cli-high/csstree-shorthand-expansion-compression-codex-cli-high-run-02/metadata/contracts/harness-report.json
dasel-html-document-format-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,826,5785,4248859,3.357925,0.001361542,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/dasel-html-document-format/codex-cli-high/dasel-html-document-format-codex-cli-high-run-02/metadata/contracts/harness-report.json
dynamodb-toolbox-conditional-attribute-requirements-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,822,6310,26654494,16.077518,0.000236733,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/dynamodb-toolbox-conditional-attribute-requirements/codex-cli-high/dynamodb-toolbox-conditional-attribute-requirements-codex-cli-high-run-02/metadata/contracts/harness-report.json
fd-deterministic-multi-key-sorting-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,435,3230,9434130,6.79791,0.000342374,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/fd-deterministic-multi-key-sorting/codex-cli-high/fd-deterministic-multi-key-sorting-codex-cli-high-run-02/metadata/contracts/harness-report.json
happy-dom-abort-pending-body-reads-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,236,1945,20650039,13.147859,9.4189e-05,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/happy-dom-abort-pending-body-reads/codex-cli-high/happy-dom-abort-pending-body-reads-codex-cli-high-run-02/metadata/contracts/harness-report.json
katex-multicolumn-array-spans-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,481,3891,12270399,8.06041,0.000317105,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/katex-multicolumn-array-spans/codex-cli-high/katex-multicolumn-array-spans-codex-cli-high-run-02/metadata/contracts/harness-report.json
langchain-request-coalescing-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,830,5396,4409458,3.616828,0.001223733,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/langchain-request-coalescing/codex-cli-high/langchain-request-coalescing-codex-cli-high-run-02/metadata/contracts/harness-report.json
narwhals-rolling-window-suite-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,621,4957,5928765,4.540056,0.000836093,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/narwhals-rolling-window-suite/codex-cli-high/narwhals-rolling-window-suite-codex-cli-high-run-02/metadata/contracts/harness-report.json
numba-stencil-boundary-modes-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,219,2128,5713695,4.353747,0.000372439,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/numba-stencil-boundary-modes/codex-cli-high/numba-stencil-boundary-modes-codex-cli-high-run-02/metadata/contracts/harness-report.json
pest-character-class-coalescing-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,374,3106,4721862,3.399874,0.000657791,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/pest-character-class-coalescing/codex-cli-high/pest-character-class-coalescing-codex-cli-high-run-02/metadata/contracts/harness-report.json
quill-shared-toolbar-focus-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,456,3262,17171573,10.872313,0.000189965,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/quill-shared-toolbar-focus/codex-cli-high/quill-shared-toolbar-focus-codex-cli-high-run-02/metadata/contracts/harness-report.json
testem-per-launcher-reports-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,337,2438,6284013,4.833936,0.000387969,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/testem-per-launcher-reports/codex-cli-high/testem-per-launcher-reports-codex-cli-high-run-02/metadata/contracts/harness-report.json
wasmi-trap-coredumps-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,737,5502,5066291,4.57174,0.001086002,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/wasmi-trap-coredumps/codex-cli-high/wasmi-trap-coredumps-codex-cli-high-run-02/metadata/contracts/harness-report.json
yaegi-go-embed-directives-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,302,2126,5960520,4.32554,0.00035668,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/yaegi-go-embed-directives/codex-cli-high/yaegi-go-embed-directives-codex-cli-high-run-02/metadata/contracts/harness-report.json
yjs-map-conflict-detection-codex-cli-high-run-02,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02,codex-cli-high,True,,317,2971,7053879,5.157664,0.000421187,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r02/yjs-map-conflict-detection/codex-cli-high/yjs-map-conflict-detection-codex-cli-high-run-02/metadata/contracts/harness-report.json
abs-stepped-slices-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,266,2465,2825148,2.503158,0.000872521,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/abs-stepped-slices/codex-cli-high/abs-stepped-slices-codex-cli-high-run-03/metadata/contracts/harness-report.json
actionlint-action-pinning-lint-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,464,3858,4121008,3.510953,0.000936179,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/actionlint-action-pinning-lint/codex-cli-high/actionlint-action-pinning-lint-codex-cli-high-run-03/metadata/contracts/harness-report.json
awilix-async-container-initialization-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,656,4310,6746530,5.146277,0.000638847,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/awilix-async-container-initialization/codex-cli-high/awilix-async-container-initialization-codex-cli-high-run-03/metadata/contracts/harness-report.json
bandit-incremental-cache-control-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,615,4140,4593385,3.536439,0.000901296,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/bandit-incremental-cache-control/codex-cli-high/bandit-incremental-cache-control-codex-cli-high-run-03/metadata/contracts/harness-report.json
boa-hierarchical-evaluation-cancellation-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,562,4217,14879765,9.725478,0.000283405,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/boa-hierarchical-evaluation-cancellation/codex-cli-high/boa-hierarchical-evaluation-cancellation-codex-cli-high-run-03/metadata/contracts/harness-report.json
csstree-shorthand-expansion-compression-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,773,5239,1716869,1.998171,0.003051485,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/csstree-shorthand-expansion-compression/codex-cli-high/csstree-shorthand-expansion-compression-codex-cli-high-run-03/metadata/contracts/harness-report.json
dasel-html-document-format-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,797,5872,2057214,2.098792,0.002854346,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/dasel-html-document-format/codex-cli-high/dasel-html-document-format-codex-cli-high-run-03/metadata/contracts/harness-report.json
dynamodb-toolbox-conditional-attribute-requirements-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,949,7501,18497041,12.414147,0.000405524,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/dynamodb-toolbox-conditional-attribute-requirements/codex-cli-high/dynamodb-toolbox-conditional-attribute-requirements-codex-cli-high-run-03/metadata/contracts/harness-report.json
fd-deterministic-multi-key-sorting-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,460,3306,5990825,4.932602,0.000551844,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/fd-deterministic-multi-key-sorting/codex-cli-high/fd-deterministic-multi-key-sorting-codex-cli-high-run-03/metadata/contracts/harness-report.json
happy-dom-abort-pending-body-reads-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,166,1223,9607908,6.434301,0.000127291,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/happy-dom-abort-pending-body-reads/codex-cli-high/happy-dom-abort-pending-body-reads-codex-cli-high-run-03/metadata/contracts/harness-report.json
katex-multicolumn-array-spans-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,16,107,713000,1.005063,0.00015007,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/katex-multicolumn-array-spans/codex-cli-high/katex-multicolumn-array-spans-codex-cli-high-run-03/metadata/contracts/harness-report.json
langchain-request-coalescing-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,915,6165,6187528,4.788339,0.000996359,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/langchain-request-coalescing/codex-cli-high/langchain-request-coalescing-codex-cli-high-run-03/metadata/contracts/harness-report.json
narwhals-rolling-window-suite-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,646,4912,5650336,4.364394,0.000869329,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/narwhals-rolling-window-suite/codex-cli-high/narwhals-rolling-window-suite-codex-cli-high-run-03/metadata/contracts/harness-report.json
numba-stencil-boundary-modes-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,198,2056,5446365,4.309692,0.000377499,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/numba-stencil-boundary-modes/codex-cli-high/numba-stencil-boundary-modes-codex-cli-high-run-03/metadata/contracts/harness-report.json
pest-character-class-coalescing-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,456,3542,7052433,5.007681,0.000502238,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/pest-character-class-coalescing/codex-cli-high/pest-character-class-coalescing-codex-cli-high-run-03/metadata/contracts/harness-report.json
quill-shared-toolbar-focus-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,341,2483,9721486,6.664991,0.000255414,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/quill-shared-toolbar-focus/codex-cli-high/quill-shared-toolbar-focus-codex-cli-high-run-03/metadata/contracts/harness-report.json
testem-per-launcher-reports-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,347,2500,3303229,2.776012,0.000756835,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/testem-per-launcher-reports/codex-cli-high/testem-per-launcher-reports-codex-cli-high-run-03/metadata/contracts/harness-report.json
wasmi-trap-coredumps-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,597,4708,16171860,11.263107,0.000291123,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/wasmi-trap-coredumps/codex-cli-high/wasmi-trap-coredumps-codex-cli-high-run-03/metadata/contracts/harness-report.json
yaegi-go-embed-directives-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,436,3349,5816362,4.406472,0.000575789,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/yaegi-go-embed-directives/codex-cli-high/yaegi-go-embed-directives-codex-cli-high-run-03/metadata/contracts/harness-report.json
yjs-map-conflict-detection-codex-cli-high-run-03,debug,report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03,codex-cli-high,True,,283,2622,5367439,4.08761,0.000488501,debug/report-deepswe-v1.1-gpt56-sol-codex-cli-high-r03/yjs-map-conflict-detection/codex-cli-high/yjs-map-conflict-detection-codex-cli-high-run-03/metadata/contracts/harness-report.json
abs-stepped-slices-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,239,2027,2933058,2.647864,0.000691088,debug/report-deepswe-v1.1-gpt56-sol-local-r01/abs-stepped-slices/codex-cli/abs-stepped-slices-codex-cli-run-01/metadata/contracts/harness-report.json
actionlint-action-pinning-lint-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,373,2916,4694294,3.82507,0.00062118,debug/report-deepswe-v1.1-gpt56-sol-local-r01/actionlint-action-pinning-lint/codex-cli/actionlint-action-pinning-lint-codex-cli-run-01/metadata/contracts/harness-report.json
awilix-async-container-initialization-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,359,2150,5114067,4.063701,0.000420409,debug/report-deepswe-v1.1-gpt56-sol-local-r01/awilix-async-container-initialization/codex-cli/awilix-async-container-initialization-codex-cli-run-01/metadata/contracts/harness-report.json
bandit-incremental-cache-control-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,511,3392,5465825,4.206772,0.000620583,debug/report-deepswe-v1.1-gpt56-sol-local-r01/bandit-incremental-cache-control/codex-cli/bandit-incremental-cache-control-codex-cli-run-01/metadata/contracts/harness-report.json
boa-hierarchical-evaluation-cancellation-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,351,2568,5124102,4.012508,0.000501161,debug/report-deepswe-v1.1-gpt56-sol-local-r01/boa-hierarchical-evaluation-cancellation/codex-cli/boa-hierarchical-evaluation-cancellation-codex-cli-run-01/metadata/contracts/harness-report.json
csstree-shorthand-expansion-compression-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,817,5767,5111000,3.415579,0.001128351,debug/report-deepswe-v1.1-gpt56-sol-local-r01/csstree-shorthand-expansion-compression/codex-cli/csstree-shorthand-expansion-compression-codex-cli-run-01/metadata/contracts/harness-report.json
dasel-html-document-format-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,618,4332,3058459,2.770762,0.0014164,debug/report-deepswe-v1.1-gpt56-sol-local-r01/dasel-html-document-format/codex-cli/dasel-html-document-format-codex-cli-run-01/metadata/contracts/harness-report.json
dynamodb-toolbox-conditional-attribute-requirements-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,534,3689,7315263,5.463415,0.000504288,debug/report-deepswe-v1.1-gpt56-sol-local-r01/dynamodb-toolbox-conditional-attribute-requirements/codex-cli/dynamodb-toolbox-conditional-attribute-requirements-codex-cli-run-01/metadata/contracts/harness-report.json
fd-deterministic-multi-key-sorting-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,392,2754,2962040,2.644956,0.000929765,debug/report-deepswe-v1.1-gpt56-sol-local-r01/fd-deterministic-multi-key-sorting/codex-cli/fd-deterministic-multi-key-sorting-codex-cli-run-01/metadata/contracts/harness-report.json
happy-dom-abort-pending-body-reads-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,88,905,6643817,4.991074,0.000136217,debug/report-deepswe-v1.1-gpt56-sol-local-r01/happy-dom-abort-pending-body-reads/codex-cli/happy-dom-abort-pending-body-reads-codex-cli-run-01/metadata/contracts/harness-report.json
katex-multicolumn-array-spans-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,184,1650,5595781,4.17609,0.000294865,debug/report-deepswe-v1.1-gpt56-sol-local-r01/katex-multicolumn-array-spans/codex-cli/katex-multicolumn-array-spans-codex-cli-run-01/metadata/contracts/harness-report.json
langchain-request-coalescing-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,838,5633,7644567,5.902513,0.000736863,debug/report-deepswe-v1.1-gpt56-sol-local-r01/langchain-request-coalescing/codex-cli/langchain-request-coalescing-codex-cli-run-01/metadata/contracts/harness-report.json
narwhals-rolling-window-suite-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,537,3928,7467046,5.460216,0.000526045,debug/report-deepswe-v1.1-gpt56-sol-local-r01/narwhals-rolling-window-suite/codex-cli/narwhals-rolling-window-suite-codex-cli-run-01/metadata/contracts/harness-report.json
numba-stencil-boundary-modes-codex-cli-run-01,debug,report-deepswe-v1.1-gpt56-sol-local-r01,codex-cli-medium,True,,210,1811,5421437,3.538646,0.000334044,debug/report-deepswe-v1.1-gpt56-sol-local-r01/numba-stencil-boundary-modes/codex-cli/numba-stencil-boundary-modes-codex-cli-run-01/metadata/contracts/harness-report.json
